ico,of,kpf,npf,dv,dz,esak,esa,kpp,nacek,nace
00020681,Ústav pro hospodářskou úpravu lesů,325,Organizační složka státu,1979-03-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,84130,Regulace a podpora podnikatelského prostředí
00020699,Český hydrometeorologický ústav,331,Příspěvková organizace,1982-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,71123,Hydrometeorologické a meteorologické činnosti
00020699,Český hydrometeorologický ústav,331,Příspěvková organizace,1982-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,71123,Hydrometeorologické a meteorologické činnosti
00020729,Státní fond životního prostředí České republiky,381,Fond (ze zákona),1972-01-01,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,84120,"Regulace činností souvisejících s poskytováním zdravotní péče, vzděláváním, kulturou a sociální péčí, kromě sociálního zabezpečení"
00022985,"Ministerstvo školství, mládeže a tělovýchovy",325,Organizační složka státu,1981-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00023272,NÁRODNÍ MUZEUM,331,Příspěvková organizace,1972-01-01,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,91020,Činnosti muzeí
00023752,Národní ústav duševního zdraví,331,Příspěvková organizace,1961-01-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,7219,Ostatní výzkum a vývoj v oblasti přírodních a technických věd
00023761,ENDOKRINOLOGICKÝ ÚSTAV,331,Příspěvková organizace,1957-01-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,86220,Specializovaná ambulantní zdravotní péče
00024741,Okresní soud v Klatovech,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,50 - 99 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00024872,Okresní soud v Litoměřicích,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,50 - 99 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00025593,Český statistický úřad,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00025615,"Výzkumný ústav geodetický, topografický a kartografický, v. v. i.",661,Veřejná výzkumná instituce,1981-01-01,,13110,Ústřední vládní instituce,50 - 99 zaměstnanců,72200,Výzkum a vývoj v oblasti společenských a humanitních věd
00025712,Český úřad zeměměřický a katastrální,325,Organizační složka státu,1991-01-23,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,84130,Regulace a podpora podnikatelského prostředí
00025844,Český báňský úřad,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,84130,Regulace a podpora podnikatelského prostředí
00026069,Krajské státní zastupitelství v Brně,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00027073,"Výzkumný ústav Silva Taroucy pro krajinu a okrasné zahradnictví, v. v. i.",661,Veřejná výzkumná instituce,1977-01-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,7219,Ostatní výzkum a vývoj v oblasti přírodních a technických věd
00027383,ČESKÁ TELEVIZE,361,"Veřejnoprávní instituce (ČT,ČRo,ČTK)",1981-01-01,,13110,Ústřední vládní instituce,3000 - 3999 zaměstnanců,60200,Tvorba televizních programů a televizní vysílání
00027456,"Druchema, družstvo pro chemickou výrobu a služby",205,Družstvo,1972-01-01,,11002,Nefinanční podniky soukromé národní,50 - 99 zaměstnanců,20410,"Výroba mýdel a detergentů, čisticích a lešticích prostředků"
00027766,DISPO Družstvo invalidů,205,Družstvo,1972-01-01,,11002,Nefinanční podniky soukromé národní,50 - 99 zaměstnanců,45200,"Opravy a údržba motorových vozidel, kromě motocyklů"
00028819,"Služba, výrobní družstvo",205,Družstvo,1990-01-01,,11002,Nefinanční podniky soukromé národní,250 - 499 zaměstnanců,80100,Činnosti soukromých bezpečnostních agentur
00029050,"STYL PLZEŇ, výrobní družstvo",205,Družstvo,1977-01-01,,11002,Nefinanční podniky soukromé národní,200 - 249 zaměstnanců,32990,Ostatní zpracovatelský průmysl j. n.
00029084,"SNAHA KV, družstvo",205,Družstvo,1972-01-01,,11002,Nefinanční podniky soukromé národní,6 - 9 zaměstnanců,1520,Výroba obuvi
00029289,KOVOS družstvo Teplice,205,Družstvo,1986-02-25,,11002,Nefinanční podniky soukromé národní,100 - 199 zaměstnanců,31010,Výroba kancelářského nábytku a zařízení obchodů
00029343,INVA družstvo,205,Družstvo,1982-03-01,,11002,Nefinanční podniky soukromé národní,100 - 199 zaměstnanců,28240,Výroba ručních mechanizovaných nástrojů
00029513,"ZNAK Malá Skála, družstvo hodinářské a umělecké výroby",205,Družstvo,1982-03-01,,11002,Nefinanční podniky soukromé národní,25 - 49 zaměstnanců,32130,Výroba bižuterie a příbuzných výrobků
00029912,"DIPRO, výrobní družstvo invalidů",205,Družstvo,1972-01-01,,11002,Nefinanční podniky soukromé národní,100 - 199 zaměstnanců,16290,"Výroba ostatních dřevěných, korkových, proutěných a slaměných výrobků, kromě nábytku"
00030520,Dřevozpracující výrobní družstvo,205,Družstvo,1972-01-01,,11002,Nefinanční podniky soukromé národní,100 - 199 zaměstnanců,31010,Výroba kancelářského nábytku a zařízení obchodů
00030970,"Integra, výrobní družstvo , Zlín, ve zkratce Integra VD Zlín",205,Družstvo,1984-06-11,,11002,Nefinanční podniky soukromé národní,200 - 249 zaměstnanců,80100,Činnosti soukromých bezpečnostních agentur
00031445,"IRISA, výrobní družstvo",205,Družstvo,1972-01-01,,11002,Nefinanční podniky soukromé národní,250 - 499 zaměstnanců,22290,Výroba ostatních plastových výrobků
00031488,"Bytprům, výrobní družstvo v Ostravě",205,Družstvo,1972-01-01,,11002,Nefinanční podniky soukromé národní,25 - 49 zaměstnanců,4120,Výstavba bytových a nebytových budov
00031755,Družstvo JEDNOTA KLADNO,205,Družstvo,1979-01-01,,11002,Nefinanční podniky soukromé národní,250 - 499 zaměstnanců,47110,"Maloobchod s převahou potravin, nápojů a tabákových výrobků v nespecializovaných prodejnách"
00032271,"JEDNOTA, spotřební družstvo v Třešti, v likvidaci",205,Družstvo,1978-10-13,,11002,Nefinanční podniky soukromé národní,1 - 5 zaměstnanců,47110,"Maloobchod s převahou potravin, nápojů a tabákových výrobků v nespecializovaných prodejnách"
00032344,COOP družstvo Velké Meziříčí,205,Družstvo,1978-10-09,,11002,Nefinanční podniky soukromé národní,250 - 499 zaměstnanců,47110,"Maloobchod s převahou potravin, nápojů a tabákových výrobků v nespecializovaných prodejnách"
00032417,"TEMPO, obchodní družstvo",205,Družstvo,1978-05-13,,11002,Nefinanční podniky soukromé národní,500 - 999 zaměstnanců,47110,"Maloobchod s převahou potravin, nápojů a tabákových výrobků v nespecializovaných prodejnách"
00033201,Stavební bytové družstvo AREA,205,Družstvo,1972-01-01,,11002,Nefinanční podniky soukromé národní,1 - 5 zaměstnanců,6820,Pronájem a správa vlastních nebo pronajatých nemovitostí
00033251,"Stavební bytové družstvo STAVBAŘ, družstvo",205,Družstvo,1966-03-14,,11002,Nefinanční podniky soukromé národní,50 - 99 zaměstnanců,6820,Pronájem a správa vlastních nebo pronajatých nemovitostí
00042234,"TBS Světlá nad Sázavou, p.o.",331,Příspěvková organizace,1978-01-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00043257,Stavební bytové družstvo Krušnohor,205,Družstvo,1980-01-01,,11002,Nefinanční podniky soukromé národní,250 - 499 zaměstnanců,6820,Pronájem a správa vlastních nebo pronajatých nemovitostí
00044733,Stavební bytové družstvo občanů v Jičíně,205,Družstvo,1974-01-01,,11002,Nefinanční podniky soukromé národní,50 - 99 zaměstnanců,6820,Pronájem a správa vlastních nebo pronajatých nemovitostí
00056260,Střední škola automobilní Jihlava,331,Příspěvková organizace,1986-02-25,2014-07-01,13130,Místní vládní instituce,50 - 99 zaměstnanců,85321,Střední odborné vzdělávání na učilištích
00063410,Městská část Praha 1,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00063461,Městská část Praha 2,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00063517,Městská část Praha 3,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00063584,Městská část Praha 4,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00063703,Městská část Praha 6,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00063797,Městská část Praha 8,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00063894,Městská část Praha 9,801,Obec nebo městská část hlavního města Prahy,1981-01-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00063941,Městská část Praha 10,801,Obec nebo městská část hlavního města Prahy,1981-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00064165,Všeobecná fakultní nemocnice v Praze,331,Příspěvková organizace,1973-07-01,,13110,Ústřední vládní instituce,5000 - 9999 zaměstnanců,86100,Ústavní zdravotní péče
00064173,Fakultní nemocnice Královské Vinohrady,331,Příspěvková organizace,1973-07-01,,13110,Ústřední vládní instituce,3000 - 3999 zaměstnanců,86100,Ústavní zdravotní péče
00064203,Fakultní nemocnice v Motole,331,Příspěvková organizace,1973-07-01,,13110,Ústřední vládní instituce,5000 - 9999 zaměstnanců,86100,Ústavní zdravotní péče
00064211,Nemocnice Na Bulovce,331,Příspěvková organizace,1973-07-01,,13110,Ústřední vládní instituce,2500 - 2999 zaměstnanců,86100,Ústavní zdravotní péče
00064289,Dům dětí a mládeže hlavního města Prahy,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,8559,Ostatní vzdělávání j. n.
00064301,Divadlo pod Palmovkou,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,90010,Scénická umění
00064335,Hudební divadlo v Karlíně,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,90010,Scénická umění
00064416,Galerie hlavního města Prahy,331,Příspěvková organizace,1981-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,91020,Činnosti muzeí
00064432,Muzeum hlavního města Prahy,331,Příspěvková organizace,1981-06-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,91020,Činnosti muzeí
00064581,HLAVNÍ MĚSTO PRAHA,804,Kraj,1973-07-01,,13130,Místní vládní instituce,4000 - 4999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00065048,"Muzeum Podblanicka, příspěvková organizace",331,Příspěvková organizace,1985-06-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,91020,Činnosti muzeí
00065285,MĚSTSKÁ KNIHOVNA BEROUN,331,Příspěvková organizace,1991-04-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,91010,Činnosti knihoven a archivů
00065293,"Muzeum Českého krasu, příspěvková organizace",331,Příspěvková organizace,1991-01-01,,13130,Místní vládní instituce,20 - 24 zaměstnanci,91020,Činnosti muzeí
00066460,Technické služby města Kralupy nad Vltavou,331,Příspěvková organizace,1981-01-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00066567,"Regionální muzeum Mělník, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,20 - 24 zaměstnanci,91020,Činnosti muzeí
00067041,Technické služby města Nymburka,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00067041,Technické služby města Nymburka,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00067733,Technické služby města Roztoky,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00067890,OKRESNÍ ÚŘAD PRAHA-ZÁPAD,802,Okresní úřad,1973-07-01,2002-12-31,,,200 - 249 zaměstnanců,,
00068047,"Technické služby města Příbrami, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00069566,"Střední odborné učiliště, Hubálov 17",331,Příspěvková organizace,1986-02-25,,13130,Místní vládní instituce,50 - 99 zaměstnanců,85321,Střední odborné vzdělávání na učilištích
00069841,"Polabské muzeum, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,91020,Činnosti muzeí
00069876,Vlastivědné muzeum ve Slaném,331,Příspěvková organizace,1995-04-26,,13130,Místní vládní instituce,6 - 9 zaměstnanců,91020,Činnosti muzeí
00070173,Technické služby města Nových Hradů,331,Příspěvková organizace,1983-11-01,,13130,Místní vládní instituce,20 - 24 zaměstnanci,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00070572,Regionální muzeum v Českém Krumlově,331,Příspěvková organizace,1984-06-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,91020,Činnosti muzeí
00073865,Městské kulturní středisko v Domažlicích,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,20 - 24 zaměstnanci,93290,Ostatní zábavní a rekreační činnosti j. n.
00073873,"Muzeum Chodska v Domažlicích, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,91020,Činnosti muzeí
00075361,"Plzeň - TURISMUS, příspěvková organizace",331,Příspěvková organizace,1982-01-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,93290,Ostatní zábavní a rekreační činnosti j. n.
00075370,Statutární město Plzeň,801,Obec nebo městská část hlavního města Prahy,1991-01-01,,13130,Místní vládní instituce,1500 - 1999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00075566,Obec Kryštofovy Hamry,801,Obec nebo městská část hlavního města Prahy,1982-05-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00079065,"Technické služby města Chomutova, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00079481,MUZEUM SKLA A BIŽUTERIE V JABLONCI NAD NISOU,331,Příspěvková organizace,1973-07-01,,13110,Ústřední vládní instituce,25 - 49 zaměstnanců,91020,Činnosti muzeí
00079651,"Zoologická zahrada Liberec,příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,9104,"Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků"
00079651,"Zoologická zahrada Liberec,příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,9104,"Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků"
00080730,"Oblastní muzeum v Mostě, příspěvková organizace",331,Příspěvková organizace,1983-11-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,91020,Činnosti muzeí
00081531,Statutární město Ústí nad Labem,801,Obec nebo městská část hlavního města Prahy,1986-07-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00081531,Statutární město Ústí nad Labem,801,Obec nebo městská část hlavního města Prahy,1986-07-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00082554,"Střední škola hospodářská a lesnická, Frýdlant, Bělíkova 1387, příspěvková organizace",331,Příspěvková organizace,1981-03-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,85322,Střední odborné vzdělávání na středních odborných školách
00083143,"Divadlo F.X.Šaldy Liberec,příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,90010,Scénická umění
00083178,"Naivní divadlo Liberec,příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,90010,Scénická umění
00083194,"Krajská vědecká knihovna v Liberci, příspěvková organizace",331,Příspěvková organizace,1981-12-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,91010,Činnosti knihoven a archivů
00083232,"Severočeské muzeum v Liberci, příspěvková organizace",331,Příspěvková organizace,1977-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,91020,Činnosti muzeí
00083267,"Oblastní galerie Liberec, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,91020,Činnosti muzeí
00083283,SEVEROČESKÁ FILHARMONIE TEPLICE,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,90020,Podpůrné činnosti pro scénická umění
00084409,Obec Osová Bítýška,801,Obec nebo městská část hlavního města Prahy,1980-01-22,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00085031,Správa a údržba silnic Pardubického kraje,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,52210,Činnosti související s pozemní dopravou
00085278,Východočeská galerie v Pardubicích,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,20 - 24 zaměstnanci,91020,Činnosti muzeí
00085481,OKRESNÍ ÚSTAV NÁRODNÍHO ZDRAVÍ RYCHNOV NAD KNĚŽNOU,321,Rozpočtová organizace,1973-07-01,1991-12-31,,,1000 - 1499 zaměstnanců,,
00085782,"Domov důchodců Rokytnice nad Jizerou, příspěvková organizace",331,Příspěvková organizace,1991-01-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,87301,Sociální péče v domovech pro seniory
00085804,"Muzeum Českého ráje v Turnově, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,91020,Činnosti muzeí
00085839,Muzeum a Pojizerská galerie Semily,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,91020,Činnosti muzeí
00087891,"Integrovaná střední škola, Vysoké nad Jizerou, Dr. Farského 300, příspěvková organizace",331,Příspěvková organizace,1980-03-19,,13130,Místní vládní instituce,50 - 99 zaměstnanců,85321,Střední odborné vzdělávání na učilištích
00088455,Správa Krkonošského národního parku Vrchlabí,331,Příspěvková organizace,1973-07-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,9104,"Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků"
00089257,"Muzeum Brněnska, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,91020,Činnosti muzeí
00090026,"ZOO a zámek Zlín - Lešná, příspěvková organizace",331,Příspěvková organizace,1981-09-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,9104,"Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků"
00090450,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,52210,Činnosti související s pozemní dopravou
00094820,"Národní divadlo Brno, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,90010,Scénická umění
00094838,"Městské divadlo Zlín, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,90010,Scénická umění
00094871,Moravská galerie v Brně,331,Příspěvková organizace,1961-04-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,91020,Činnosti muzeí
00095711,"Správa silnic Moravskoslezského kraje, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,52210,Činnosti související s pozemní dopravou
00096814,"Zoologická zahrada Olomouc, příspěvková organizace",331,Příspěvková organizace,1984-05-18,,13130,Místní vládní instituce,50 - 99 zaměstnanců,9104,"Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků"
00097969,"Muzeum Komenského v Přerově, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,91020,Činnosti muzeí
00098311,"Vlastivědné muzeum v Šumperku, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,91020,Činnosti muzeí
00100595,Slezské zemské muzeum,331,Příspěvková organizace,1973-07-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,91020,Činnosti muzeí
00100617,"Moravská filharmonie Olomouc, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,90020,Podpůrné činnosti pro scénická umění
00100617,"Moravská filharmonie Olomouc, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,90020,Podpůrné činnosti pro scénická umění
00101427,"Muzeum města Brna, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,91020,Činnosti muzeí
00101435,Technické muzeum v Brně,331,Příspěvková organizace,1976-09-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,91020,Činnosti muzeí
00101451,"Zoo Brno a stanice zájmových činností, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,9104,"Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků"
