ds,ico,nazev
tqjn2cy,72080043,Finanční úřad pro Kraj Vysočina
fj8ny4i,72080043,Finanční úřad pro Královéhradecký kraj
zcqn2bf,72080043,Finanční úřad pro Liberecký kraj
4hun2cu,72080043,Finanční úřad pro Moravskoslezský kraj
25nnz67,72080043,Finanční úřad pro Olomoucký kraj
95zn2bb,72080043,Finanční úřad pro Pardubický kraj
gf9n2e3,72080043,Finanční úřad pro Plzeňský kraj
6sxny3p,72080043,Finanční úřad pro Středočeský kraj
qjfn2bj,72080043,Finanční úřad pro Ústecký kraj
n69nz5y,72080043,Finanční úřad pro Zlínský kraj
uimg8dd,70940096,"Fišer Jiří, JUDr. - soudní exekutor"
5bwg8d9,66250391,"Flajšhansová Vendula, JUDr. - soudní exekutorka"
d47g8e3,71002294,"Fojtová Jana, JUDr. - soudní exekutorka"
zg86tq3,49710362,Garanční systém finančního  trhu
yyab9fu,15944841,Foukal Martin - notář
9rjb9fr,75092107,Foukalová Lucie - notářka
nwgg8ev,13565567,"Franc Jaromír, Mgr. - soudní exekutor"
xprg8es,66254132,"Frank Marek, JUDr. - soudní exekutor"
iiub9gj,25800710,Fryč Jiří - notář
8g2g8en,63691540,"Fučíková Pavla, Mgr. - soudní exekutorka"
35eb9g9,75007801,Gabányiová Adéla - notářka
cwpb9h3,25800744,Gabányiová Lucie - notářka
rk83pxw,04050100,Galková Jana - notářka
p9iwj4f,72080043,Generální finanční ředitelství
v7m7926,72554495,Generální inspekce bezpečnostních sborů
7puaa4c,71214011,Generální ředitelství cel
wg9b9hu,25800779,Geroldová Zuzana - notářka
7aib9hn,75007665,Glazarová Soňa - notářka
r3kg8fa,66216681,"Glogrová Iveta, JUDr. - soudní exekutorka"
a8uadk4,48549037,Grantová agentura České republiky
2uvg8f6,61380717,"Grosam Jan, JUDr. - soudní exekutor"
8nbj75d,60816945,Gymnazium
spigi95,00072982,"Gymnázium a střední odborná škola ekonomická, Vimperk, Pivovarská 69"
kcsfckc,00583839,"Gymnázium, Český Krumlov, Chvalšinská 112"
ygjxrcz,60076135,"Gymnázium J.V.Jirsíka, České Budějovice, Fráni Šrámka 23"
eyeevxf,60096136,"Gymnázium, Prachatice, Zlatá stezka 137"
4zvxrj2,62534408,"Gymnázium, Trhové Sviny, Školní 995"
eqmfcmv,60076062,GYMNÁZIUM TÝN NAD VLTAVOU HAVLÍČKOVA 13
vqejg66,60064765,"Gymnázium,Soběslav,Dr.Edvarda Beneše 449/II"
qu4b9ic,25800795,Habartová Petra - notářka
zndb9i7,25800809,Habrman Miloš - notář
afnb9jz,25800817,Hájek Jaroslav - notář
i8xb9jv,47599928,Hájková Helena - notářka
tz8b9jr,25800825,Hájková Marie - notářka
dksb9ke,25800841,Hallada Bohdan - notář
bm6g8gz,66249066,"Hanáček Pavel, Mgr. - soudní exekutor"
gqeswhz,43914624,"Hanák Ondřej, JUDr. - soudní exekutor"
nd3b9ka,25800850,Handlová Jarmila - notářka
w7cb9k4,65803698,Häni Trojanová Jaroslava Sabrina - notářka
7ymb9ky,25800868,Haratický Jaroslav - notář
jm9aa6j,70886288,Hasičský záchranný sbor hlavního města Prahy
ph9aiu3,70882835,Hasičský záchranný sbor Jihočeského kraje
ybiaiuv,70884099,Hasičský záchranný sbor Jihomoravského kraje
xknaa7s,70883611,Hasičský záchranný sbor Karlovarského kraje
ntdaa7v,70885184,Hasičský záchranný sbor kraje Vysočina
yvfab6e,70882525,Hasičský záchranný sbor Královéhradeckého kraje
hv4aivj,70888744,Hasičský záchranný sbor Libereckého kraje
spdaive,70884561,Hasičský záchranný sbor Moravskoslezského kraje
ufiaa6d,70885940,Hasičský záchranný sbor Olomouckého kraje
48taa69,70885869,Hasičský záchranný sbor Pardubického kraje
p36ab6k,70883378,Hasičský záchranný sbor Plzeňského kraje
dz4aa73,70885371,Hasičský záchranný sbor Středočeského kraje
auyaa6n,70886300,Hasičský záchranný sbor Ústeckého kraje
z3paa5u,70887306,Hasičský záchranný sbor Zlínského kraje
kffg8gt,66236878,"Hauerland Miroslav, JUDr. - soudní exekutor"
pc9n3t6,03372537,"Havlice Alan, Mgr. - soudní exekutor"
2cgb9mh,25800892,Havlíček Ivo - notář
u8qg8gp,66229413,"Havlíková Markéta, JUDr. - soudní exekutorka"
vu3v2m4,01791354,"Havlová Martina, Mgr. - soudní exekutorka"
a5rb9nb,71170626,Havránková Alena - notářka
uqbb9n2,25800914,Heinz Aleš - notář
5hkb9nw,25800922,Heinzová Jitka - notářka
6kwn97k,01253930,Hejtmánek Jan - notář
eavb9pq,75095254,Hejtmánková Klára - notářka
n36b9pk,48451916,Helešic Svatomír - notář
8nqb9pb,25800981,Herzánová Martina - notářka
hfzb9q5,25800990,Heřman Vlastimil - notář
48ia97h,00064581,HLAVNÍ MĚSTO PRAHA
57pb9r8,25801023,Hochman Petr - notář
eyyb9sz,25801015,Hochman Roman - notář
22jb9qt,25801031,Hodějovská Věra - notářka
btub9rm,25801040,Hoderová Vlasta - notářka
veeb9rc,25801066,Hofmannová Daniela - notářka
yjib9sq,25801082,Holasová Ladislava - notářka
9ctb9sk,46311459,Holcmanová Jitka - notářka
h54b9te,18231691,Holečková Jitka - notářka
b32ntdf,70556547,Holík Luboš - notář
3qnb9t5,48452254,Holobrádek Josef - notář
ryfkf8j,03183718,Holubová Lucie - notářka
etag8hb,62096052,"Homola Jaroslav, Mgr. - soudní exekutor"
ma8b9ut,25801155,Homolka Jaroslav - notář
z3eiahw,03007073,Horáčková Jitka - notářka
dbsbyp3,72564504,"Horák Martin, Mgr. - soudní exekutor"
v4hb9um,25801171,Horáková Věra - notářka
6vsb9uh,47899042,Horáková Zdeňka - notářka
v89aijz,47309113,Hornická zaměstnanecká zdravotní pojišťovna v likvidaci
fn3b9vc,25801180,Hornyšová Hana - notářka
9nqab6b,49279530,Hospodářská komora České republiky
timacm6,49709771,Hospodářská komora hlavního města Prahy
4bwacm2,26174383,Hospodářská komora Praha 1
qgcb9v6,25801198,Houdek Ivan - notář
y9mb9v2,25801201,Hrdina Kamil - notář
it7b9wq,11340967,Hroch Stanislav - notář
tmgb9wj,25801236,Hruška Stanislav - notář
c72b9x9,25801252,Humpolcová Jarmila - notářka
mzbb9x3,48452271,Hungr Pavel - notář
wskb9xx,25801279,Huták Pavel - notář
zpqai2i,71009256,Hygienická stanice hlavního města Prahy se sídlem v Praze
gc6b9yn,25804944,Hyráková Jana - notářka
e8tqf34,74155431,Iliadisová Magdalena - notářka
nfwfkw3,71217045,Ing. Jitka Chmelíková
6awdjrd,70890293,Institut pro veřejnou správu Praha
hyeg8iq,66216877,"Ivanko Igor, JUDr. - soudní exekutor"
xgpb92a,14503468,Ivicová Brejchová Eva - notářka
srpg8im,60870281,"Jablonská Eva, JUDr. - soudní exekutorka"
am3hpeq,01877569,"Jakubovská Veronika, Mgr. - soudní exekutorka"
7ckj9g2,62156462,Janáčkova akademie múzických umění v Brně
g29b93y,48452190,Jančaříková Ilona - notářka
ruib93s,25801325,Jandovská Libuše - notářka
greppib,62188178,"Janečka Jiří, JUDr., Ph.D. - soudní exekutor"
x6sb95k,25801392,Jankovičová Hana - notářka
2mtb93p,25801333,Janoušová Hana - notářka
be4b94h,46622128,Jantačová Edita - notářka
j8db94b,25801350,Jarnotová Libuše - notářka
cb9g8jb,75066874,"Jaroš Petr, Mgr. - soudní exekutor"
3iyg8ih,75126516,"Jaroš Vojtěch, Mgr. - soudní exekutor"
5sxb943,25801376,Javorská Marta - notářka
pdhb95q,25804260,Jelínek Hanuš - notář
4e5pk2q,65850661,"Jenerál Marek, Mgr. - soudní exekutor"
wjnjawv,25801406,Jeřábková Dagmar - notářka
82csaxd,04886674,"Jícha Lukáš, JUDr. - soudní exekutor"
r6facfh,48208248,Jihočeská hospodářská komora
vu8j9dv,60076658,Jihočeská univerzita v Českých Budějovicích
kdib3rr,70890650,Jihočeský kraj
x2pbqzq,70888337,Jihomoravský kraj
k5ig8j5,42894581,"Jindra Jan, Mgr. - soudní exekutor"
8x3b95g,43796966,Jindřich Miloslav . notář
a8nh2m5,02984989,Johanovská Kamila - notářka
hrcb969,25801449,Josífková Alena - notářka
mupep9r,88887537,"Leskovjan Jiří, JUDr. et Mgr. - soudní exekutor"
gg5aa56,70961808,Justiční akademie
simb965,25801431,Kačírková Jana - notářka
s4kaazc,04482247,Kačírková Pavlína - notářka
3g8v2kk,01791249,"Kalistová Jana, Mgr. - soudní exekutorka"
3bwb96z,44101651,Kalous Přemysl - notář
qr9ab9x,72546522,Kancelář finančního arbitra
9hjaihw,48136000,Kancelář prezidenta republiky
jz5adky,70836981,Kancelář veřejného ochránce práv
b47b97t,25801465,Kantorová Hana - notářka
auqfgpd,62546074,Kapicová Kohoutková Hana - notářka
vwtg8jz,70958840,"Karafiát Radek, Mgr. - soudní exekutor"
6p4g8jw,72601841,"Karasová Soňa, JUDr. - soudní exekutorka"
siqbxt2,70891168,Karlovarský kraj
kwgb97m,25801473,Kaslová Hana - notářka
qjfadtx,71185224,Katastrální úřad pro hlavní město Prahu
zcqadtt,00213691,Katastrální úřad pro Jihočeský kraj
e33adqt,00213730,Katastrální úřad pro Jihomoravský kraj
pvcadqm,71185232,Katastrální úřad pro Karlovarský kraj
ynmadqi,71185241,Katastrální úřad pro Královéhradecký kraj
9fwadqe,00213713,Katastrální úřad pro Liberecký kraj
bwxadpe,00849871,Katastrální úřad pro Moravskoslezský kraj
kp8adpb,71185186,Katastrální úřad pro Olomoucký kraj
xyiadm7,00213721,Katastrální úřad pro Pardubický kraj
8rtadm4,00213705,Katastrální úřad pro Plzeňský kraj
hi4adnw,00213683,Katastrální úřad pro Středočeský kraj
scdadnq,71185194,Katastrální úřad pro Ústecký kraj
25nadnk,71185208,Katastrální úřad pro Vysočinu
vhhadp5,71185216,Katastrální úřad pro Zlínský kraj
vprb97i,25801481,Kavanová Alena - notářka
6g2b97e,25801490,Kawulok Josef - notář
cbuub5p,01660586,Kellová Zuzana - notářka
w6upphn,01321935,Kernerová Lucie - notářka
zh8thjb,25916076,KEZ o.p.s.
v3t6rv4,66244773,"Kiselová Simona, Mgr. - soudní exekutorka"
2gn7icj,71443126,Klička Ondřej - notář
p3kb982,25801511,Klocová Alena - notářka
fhdg8kn,60531355,"Kocián Petr, JUDr. - soudní exekutor"
593q955,71468706,"Kocinec Jaroslav, Mgr., LL.M. - soudní exekutor"
9m6b98t,25801538,Kocinová Iva - notářka
s8qb99f,25801554,Kočer Ivan - notář
4pwxvs3,05118565,Kohoutek Jan - notář
hw6t33f,72073560,"Kohoutek Predrag, Mgr. - soudní exekutor"
xxkr9jh,75112833,Kohoutek Tomáš - notář
3zzb99b,25801562,Kohoutová Jitka - notářka
ctacaaz,25801571,Kolafová Jana - notářka
mkjcaaw,75094312,Kolaříková Romana - notářka
qang8ki,66223831,"Komárek Jiří, JUDr. - soudní exekutor"
y3xg8ke,66254612,"Komínková Zuzana, Mgr. - soudní exekutorka"
b78xtfa,00007064,Komise pro rozhodování ve věcech pobytu cizinců
sibaevw,70901473,KOMORA AUDITORŮ ČESKÉ REPUBLIKY
ng6adi3,44995059,Komora daňových poradců České Republiky
xafadiv,44964714,Komora patentových zástupců České republiky
73qadir,44015364,Komora veterinárních lékařů České republiky
9u8g8ka,66253080,"Koncz David, Mgr. - soudní exekutor"
wducaas,25804308,Kondrová Ivana - notářka
8g6sqqr,03586847,Kondrová Martina - notářka
49xfwen,60075902,"Konzervatoř, České Budějovice, Kanovnická 22"
ypri54b,71376500,Koordinační středisko pro resortní zdravotnické informační systémy
yu69h9e,02345552,Kopal Martin - notář
fyecabe,25801627,Kopecký Jaroslav - notář
qrpcabb,25801635,Kopencová Jana - notářka
ziycab7,25801643,Korolová Rita - notářka
ab9cacz,25801651,Kostřicová Vladimíra - notářka
tfsg8mx,43876439,"Košina Kamil, Mgr. - soudní exekutor"
6g3wv5n,03786064,Kotrbová Sylva - notářka
i5icact,25801660,Kotrlík Jiří - notář
4p4cack,25801678,Kotrlíková Vladimíra - notářka
9nf9h99,02373157,Koupšet Robert - notář
c8hhnjq,02975122,"Koutníková Eva, JUDr. - soudní exekutorka"
w3xcad4,42249953,Kovaříček Milan - notář
383g8mt,66237530,"Kozáková Ivana, JUDr. - soudní exekutorka"
gnhcaer,25801732,Kozlová Ivana - notářka
25iev27,02709694,"Kozlová Lenka, Mgr. et Mgr. - soudní exekutorka"
rfscaem,25801741,Kožiaková Hana - notářka
ksab3eu,70890749,Kraj Vysočina
gm7ae5n,70957762,Krajská agrární komora Plzeň
rfgae5g,70914214,Krajská agrární komora Ústeckého kraje
uwtactr,69651175,Krajská hospodářská komora jižní Moravy
panacua,70843252,Krajská hospodářská komora Kraje Vysočina
am6acqs,25948890,Krajská hospodářská komora Královéhradeckého kraje
5p4actn,68280645,Krajská hospodářská komora Liberec
vznacj8,47673192,Krajská hospodářská komora Moravskoslezského kraje
x3xacu6,70951039,Krajská hospodářská komora Olomouckého kraje
6sxacj4,25982583,Krajská hospodářská komora Pardubického kraje
j5iactv,70912891,Krajská hospodářská komora Plzeňského kraje
jffacqk,25722077,Krajská hospodářská komora Střední Čechy
ehdacue,70894612,Krajská hospodářská komora Ústeckého kraje
8u8acu2,71185631,Krajská hospodářská komora Zlínského kraje
agzai3c,71009345,Krajská hygienická stanice Jihočeského kraje se sídlem v Českých Budějovicích
jaaai36,71009191,Krajská hygienická stanice Jihomoravského kraje se sídlem v Brně
t3jai32,71009281,Krajská hygienická stanice Karlovarského kraje se sídlem v Karlových Varech
4uuai3w,71009311,Krajská hygienická stanice kraje Vysočina se sídlem v Jihlavě
dm5ai4r,71009213,Krajská hygienická stanice Královéhradeckého kraje se sídlem v Hradci Králové
nfeai4j,71009302,Krajská hygienická stanice Libereckého kraje se sídlem v Liberci
w8pai4f,71009167,Krajská hygienická stanice Moravskoslezského kraje se sídlem v Ostravě
7zyai4b,71009248,Krajská hygienická stanice Olomouckého kraje se sídlem v Olomouci
23wai86,71009264,Krajská hygienická stanice Pardubického kraje se sídlem v Pardubicích
samai8a,71009299,Krajská hygienická stanice Plzeňského kraje se sídlem v Plzni
hhcai8e,71009159,Krajská hygienická stanice Středočeského kraje se sídlem v Praze
8p3ai7n,71009183,Krajská hygienická stanice Ústeckého kraje se sídlem v Ústí nad Labem
xwsai7r,71009221,Krajská hygienická stanice Zlínského kraje se sídlem ve Zlíně
rkiai5y,75151472,Krajské ředitelství policie hlavního města Prahy
eb8ai73,75151511,Krajské ředitelství policie Jihočeského kraje
jydai6g,75151499,Krajské ředitelství policie Jihomoravského kraje
upshp5u,72051612,Krajské ředitelství policie Karlovarského kraje
x9nhptc,72052147,Krajské ředitelství policie kraje Vysočina
urnai6d,75151545,Krajské ředitelství policie Královéhradeckého kraje
vsmhpv9,72050501,Krajské ředitelství policie Libereckého kraje
n5hai7v,75151502,Krajské ředitelství policie Moravskoslezského kraje
6jwhpv6,72051795,Krajské ředitelství policie Olomouckého kraje
ndihp32,72050250,Krajské ředitelství policie Pardubického kraje
5ixai69,75151529,Krajské ředitelství policie Plzeňského kraje
2dtai5u,75151481,Krajské ředitelství policie Středočeského kraje
a64ai6n,75151537,Krajské ředitelství policie Ústeckého kraje
w6thp3w,72052767,Krajské ředitelství policie Zlínského kraje
ua9aeqr,00026042,Krajské státní zastupitelství Ústí nad Labem
feaabdn,00026069,Krajské státní zastupitelství v Brně
9r5abdb,00026026,Krajské státní zastupitelství v Českých Budějovicích
p7jabdi,00026051,Krajské státní zastupitelství v Hradci Králové
6kzabcw,00026077,Krajské státní zastupitelství v Ostravě
yyuabde,00026034,Krajské státní zastupitelství v Plzni
ejwaeup,00026018,Krajské státní zastupitelství v Praze
eajaeeh,60162694,Krajské vojenské velitelství Brno
xu5aee9,60162694,Krajské vojenské velitelství České Budějovice
r8yaefs,60162694,Krajské vojenské velitelství hlavní město Praha
btiaege,60162694,Krajské vojenské velitelství Hradec Králové
vd4aeg7,60162694,Krajské vojenské velitelství Jihlava
eynaeht,60162694,Krajské vojenské velitelství Karlovy Vary
9chaehe,60162694,Krajské vojenské velitelství Liberec
sw3aei4,60162694,Krajské vojenské velitelství Olomouc
chmaejr,60162694,Krajské vojenské velitelství Ostrava
v37aejh,60162694,Krajské vojenské velitelství Pardubice
y9baeku,60162694,Krajské vojenské velitelství Plzeň
itvaemi,60162694,Krajské vojenské velitelství Praha
c7qaen3,60162694,Krajské vojenské velitelství Ústí nad Labem
myzaenx,60162694,Krajské vojenské velitelství Zlín
5wwaa9j,00215724,Krajský soud v Brně
832abay,00215686,Krajský soud v Českých Budějovicích
